cisp,mes,ano,aisp,risp,airsoft,arma_fabricacao_caseira,carabina,espingarda,fuzil,garrucha,garruchao,metralhadora,outros,paintball,pistola,revolver,submetralhadora,total
1,1,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,2014,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,10,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,2014,5,1,0,0,0,0,0,1,0,0,1,0,1,0,0,3
4,3,2014,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,4,2014,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4,5,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,2014,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4,11,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12,2014,5,1,0,0,0,0,0,0,0,0,1,0,2,0,0,3
5,1,2014,5,1,1,0,0,0,0,0,0,0,0,0,4,0,0,5
5,2,2014,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5,3,2014,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2
5,4,2014,5,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4
5,5,2014,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2
5,6,2014,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3
5,7,2014,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2
5,8,2014,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5,9,2014,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5,10,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11,2014,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3
5,12,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,2014,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,2014,4,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4
6,3,2014,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,2014,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,2014,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2
6,6,2014,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,2014,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6,8,2014,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2
6,9,2014,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6,10,2014,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2
6,11,2014,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6,12,2014,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7,1,2014,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,2014,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
